,population,state,median income,unemployment rate,adults college educated,poverty rate,image_src
Plano,289547,Texas,"103,916",3.3%,59.1%,4.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Legacy_town_center_plano.jpg/2000px-Legacy_town_center_plano.jpg
Anchorage,287145,Alaska,"95,731",4.0%,37.0%,9.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Anchorage_Skyline_in_Winter_-_Hotel_Captain_Cook_-_Anchorage_Alaska.jpg/2000px-Anchorage_Skyline_in_Winter_-_Hotel_Captain_Cook_-_Anchorage_Alaska.jpg
Jersey City,286670,New Jersey,"94,080",3.7%,53.6%,12.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Jersey_City_Skyline_sunset_%28cropped%29.jpg/2000px-Jersey_City_Skyline_sunset_%28cropped%29.jpg
St. Louis,286578,Missouri,"52,847",4.4%,41.9%,20.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Runner_Fountain_and_Old_Courthouse_and_Arch_%285618845531%29.jpg/2000px-Runner_Fountain_and_Old_Courthouse_and_Arch_%285618845531%29.jpg
Chandler,280711,Arizona,"98,664",2.6%,46.5%,7.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Neighborhoods_in_the_City_of_Chandler.jpg/2000px-Neighborhoods_in_the_City_of_Chandler.jpg
North Las Vegas,280543,Nevada,"75,459",7.6%,19.9%,12.0%,https://upload.wikimedia.org/wikipedia/commons/c/cd/Northlasv.jpg
Chula Vista,279170,California,"101,190",6.7%,34.2%,10.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Chula_Vista_Skyline.jpg/2000px-Chula_Vista_Skyline.jpg
Buffalo,276486,New York,"48,904",4.3%,31.9%,23.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Peace_Bridge.jpg/2000px-Peace_Bridge.jpg
Gilbert,275346,Arizona,"111,393",3.0%,47.8%,4.8%,https://upload.wikimedia.org/wikipedia/commons/c/cb/Gilbert-Gilbert_Heritage_District_as_viewed_from_Gilbert_Rd..jpg
Reno,273448,Nevada,"72,103",5.6%,33.9%,12.3%,https://upload.wikimedia.org/wikipedia/commons/e/e1/Reno%2C_Nevada_%2816931715632%29.jpg
Madison,272903,Wisconsin,"73,647",2.2%,60.1%,17.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Wisconsin_State_Capitol_Aerial.jpg/2000px-Wisconsin_State_Capitol_Aerial.jpg
Fort Wayne,267927,Indiana,"58,439",4.1%,27.7%,14.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Historic_Fort_Wayne%2C_Fort_Wayne%2C_Indiana%2C_May_2014.jpg/2000px-Historic_Fort_Wayne%2C_Fort_Wayne%2C_Indiana%2C_May_2014.jpg
Toledo,266301,Ohio,"47,365",5.6%,23.3%,23.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/University_Hall_UToledo.JPG/2000px-University_Hall_UToledo.JPG
Lubbock,263930,Texas,"56,910",5.3%,36.0%,19.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/LubbockSkyline2013.jpg/2000px-LubbockSkyline2013.jpg
St. Petersburg,261256,Florida,"69,941",5.1%,43.9%,13.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/St_Pete_Skyline_from_Pier.jpg/2000px-St_Pete_Skyline_from_Pier.jpg
Laredo,256187,Texas,"59,751",3.7%,22.6%,20.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Laredo_Downtown.JPG/2000px-Laredo_Downtown.JPG
Irving,254715,Texas,"78,326",3.5%,42.4%,11.3%,https://upload.wikimedia.org/wikipedia/commons/3/3d/Irving_Montage.jpg
Chesapeake,252488,Virginia,"87,749",4.3%,35.0%,8.4%,https://upload.wikimedia.org/wikipedia/commons/9/97/Great_Dismal_Swamp_Canal.jpg
Glendale,189221,California,"77,483",6.5%,43.5%,13.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/PacificTheatresGlendale.jpg/2000px-PacificTheatresGlendale.jpg
Winston-Salem,251350,North Carolina,"54,195",5.8%,39.9%,18.2%,https://upload.wikimedia.org/wikipedia/commons/a/a5/UpperQuad_ACB.jpg
Scottsdale,243050,Arizona,"100,636",2.6%,63.7%,7.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Scottsdale_waterfront.jpg/2000px-Scottsdale_waterfront.jpg
Garland,240854,Texas,"71,191",4.3%,26.9%,12.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Downtown_Garland.jpg/2000px-Downtown_Garland.jpg
Boise City,236634,Idaho,"81,425",1.9%,50.3%,11.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Idaho_Capitol_Building.JPG/2000px-Idaho_Capitol_Building.JPG
Norfolk,232995,Virginia,"61,090",5.2%,32.1%,17.7%,https://upload.wikimedia.org/wikipedia/commons/2/2e/Chryslermuseum.jpg
Port St. Lucie,231790,Florida,"70,613",4.7%,26.2%,7.4%,https://upload.wikimedia.org/wikipedia/commons/1/19/Psl_golf_course.jpg
Spokane,230160,Washington,"62,287",4.2%,35.0%,11.8%,https://upload.wikimedia.org/wikipedia/commons/9/90/Spokane_aerial%2C_May_2023_%28cropped%29.png
Richmond,229395,Virginia,"58,988",6.6%,45.8%,21.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/A_downtown_view_of_Richmond%2C_VA.jpg/2000px-A_downtown_view_of_Richmond%2C_VA.jpg
Fremont,223871,California,"162,336",3.5%,64.3%,7.0%,https://upload.wikimedia.org/wikipedia/commons/a/ac/Mission_Peak_over_Lake_Elizabeth%2C_in_Fremont%2C_California_%28cropped%29.JPG
Huntsville,221933,Alabama,"68,930",4.3%,48.2%,13.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Art_Museam.jpg/2000px-Art_Museam.jpg
Tacoma,221776,Washington,"80,784",6.5%,34.9%,14.2%,https://upload.wikimedia.org/wikipedia/commons/6/60/Tacoma_aerial%2C_May_2023.png
